UNQ_ID,AGE RANGE,GENDER,NCSS_B03A,NCSS_B04,NCSS_B05,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,X_MR1,X_MR2,X_MR3,X_MR4,X_MR5,I_MR1,I_MR2,I_MR3,I_MR4,I_MR5
3027DF64,18-24 years old,Female,No,No,7 Polytechnic,7,5,5,5,-0.875,0,0.1,0,0.25,N,N,Y,N,Y
0517723A,18-24 years old,Male,Yes,No,7 Polytechnic,6,5,5,5,-0.125,-1.8,-0.3,-1.25,-0.5,N,N,N,N,N
558755DA,18-24 years old,Female,Yes,No,7 Polytechnic,4,5,5,5,0.1875,-0.2,-0.3,-0.5,0.5,Y,N,N,N,Y
EFD47FEA,18-24 years old,Female,Yes,No,7 Polytechnic,3,5,5,5,-0.25,-0.2,-0.2,-1,1.5,N,N,N,N,Y
8D0B8BA4,18-24 years old,Female,Yes,No,7 Polytechnic,9,5,5,5,-0.4375,-1,-0.4,-0.5,-1.25,N,N,N,N,N
8151B1FD,18-24 years old,Female,Yes,No,8 University Degree,10,5,5,5,-0.4375,-1,-0.4,-0.5,-1.25,N,N,N,N,N
1299325A,18-24 years old,Female,No,No,7 Polytechnic,7,5,5,5,0.125,1,-0.3,-1,2.5,Y,Y,N,N,Y
43B4C164,18-24 years old,Female,No,No,8 University Degree,8,5,5,5,-0.375,-0.6,0.3,0,-0.25,N,N,Y,N,N
585E234F,18-24 years old,Female,No,No,7 Polytechnic,7,5,5,5,-0.125,-1.8,-0.3,-1.25,-0.5,N,N,N,N,N
EFA91FCA,18-24 years old,Female,No,No,7 Polytechnic,8,4,4,3,0.4375,0.4,0.6,-0.25,2,Y,Y,Y,N,Y
F2412C99,18-24 years old,Female,No,No,7 Polytechnic,8,5,5,5,-0.5,-0.2,0,-0.75,0.25,N,N,N,N,Y
52BDDA4D,18-24 years old,Female,Yes,No,8 University Degree,10,5,5,5,-0.25,0.6,0.4,-0.25,1,N,Y,Y,N,Y
40D91B58,18-24 years old,Male,Yes,Yes,7 Polytechnic,4,5,5,5,-0.875,0,0.1,0,0.25,N,N,Y,N,Y
04A01F57,18-24 years old,Female,No,No,7 Polytechnic,8,3,4,4,0.4375,0.4,0.6,-0.25,2,Y,Y,Y,N,Y
4B1997A3,18-24 years old,Female,Yes,No,8 University Degree,9,5,5,5,-0.25,-0.2,-0.2,-1,1.5,N,N,N,N,Y
D7151627,18-24 years old,Female,Yes,No,8 University Degree,9,5,5,5,0.1875,-0.2,-0.3,-0.5,0.5,Y,N,N,N,Y
E1B9A47D,25-34 years old,Female,No,No,8 University Degree,8,5,5,5,-0.25,0.6,0.4,-0.25,1,N,Y,Y,N,Y
BB8CFD13,25-34 years old,Female,No,No,7 Polytechnic,4,5,5,5,0.1875,-0.2,-0.3,-0.5,0.5,Y,N,N,N,Y
B340DA66,25-34 years old,Female,Yes,No,8 University Degree,4,4,4,4,-0.75,-0.6,0.2,0.5,-1.25,N,N,Y,Y,N
5854C51C,25-34 years old,Female,Yes,No,8 University Degree,9,5,5,5,-0.875,0,0.1,0,0.25,N,N,Y,N,Y
D0E5AF94,25-34 years old,Female,No,No,8 University Degree,9,5,5,5,-0.0625,-0.8,-0.4,-0.25,1.25,N,N,N,N,Y
060A992D,25-34 years old,Female,Yes,Yes,8 University Degree,9,5,5,5,-0.5,-0.2,0,-0.75,0.25,N,N,N,N,Y
4C385E91,25-34 years old,Female,No,No,8 University Degree,9,5,5,5,-0.5,-0.2,0,-0.75,0.25,N,N,N,N,Y
6F4D0D43,25-34 years old,Female,Yes,No,8 University Degree,8,5,5,5,-0.375,-0.6,0.3,0,-0.25,N,N,Y,N,N
E13B4660,25-34 years old,Female,No,No,8 University Degree,8,5,5,5,-0.75,-0.6,0.2,0.5,-1.25,N,N,Y,Y,N
87E3E135,25-34 years old,Male,No,No,7 Polytechnic,10,5,5,5,-0.375,-0.6,0.3,0,-0.25,N,N,Y,N,N
F942CF33,25-34 years old,Female,Yes,No,8 University Degree,9,5,5,5,-0.125,-1.8,-0.3,-1.25,-0.5,N,N,N,N,N
311C8F03,25-34 years old,Female,Yes,Yes,8 University Degree,9,3,4,4,-0.75,-0.6,0.2,0.5,-1.25,N,N,Y,Y,N
F6043069,25-34 years old,Female,Yes,No,9 Postgraduate Degree,9,5,5,5,0.125,1,-0.3,-1,2.5,Y,Y,N,N,Y
46041B9C,25-34 years old,Female,Yes,No,9 Postgraduate Degree,9,5,5,5,-0.0625,-0.8,-0.4,-0.25,1.25,N,N,N,N,Y
72DBA5BA,35-44 years old,Female,No,No,8 University Degree,9,5,5,5,-1.25,-0.6,-1.8,-1.25,-0.25,N,N,N,N,N
46CAD5EC,35-44 years old,Male,Yes,No,9 Postgraduate Degree,5,5,5,5,0.125,1,-0.3,-1,2.5,Y,Y,N,N,Y
A9C7E9F5,35-44 years old,Male,No,Yes,9 Postgraduate Degree,3,5,5,5,-1.25,-0.6,-1.8,-1.25,-0.25,N,N,N,N,N
B63601EE,35-44 years old,Female,Yes,Yes,9 Postgraduate Degree,9,5,5,5,-0.25,0.6,0.4,-0.25,1,N,Y,Y,N,Y
23220AF7,35-44 years old,Male,Yes,Yes,9 Postgraduate Degree,5,5,5,5,-0.0625,-0.8,-0.4,-0.25,1.25,N,N,N,N,Y
F1CE9B6D,35-44 years old,Female,No,No,9 Postgraduate Degree,4,5,5,5,-1.25,-0.6,-1.8,-1.25,-0.25,N,N,N,N,N
57F5EAD5,45-54 years old,Male,No,No,9 Postgraduate Degree,4,5,5,5,-0.4375,-1,-0.4,-0.5,-1.25,N,N,N,N,N
CCBBAA6B,55-64 years old,Male,Yes,No,9 Postgraduate Degree,9,4,4,3,0.4375,0.4,0.6,-0.25,2,Y,Y,Y,N,Y
98510381,18-24 years old,Male,No,No,7 Polytechnic,10,3.5,0.5,2,-0.0625,-0.2,-0.3,0,0.25,N,N,N,N,Y
2129D9A2,18-24 years old,Female,No,No,7 Polytechnic,10,3,3,3.5,0,0,0,0,0,N,N,N,N,N
CE223D04,18-24 years old,Male,No,No,7 Polytechnic,10,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
7C09440D,18-24 years old,Male,No,No,7 Polytechnic,10,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
239EEFB8,18-24 years old,Female,No,No,7 Polytechnic,10,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
C605AED3,18-24 years old,Male,No,No,7 Polytechnic,10,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
06CE6211,18-24 years old,Female,No,No,7 Polytechnic,10,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
9A2CA061,18-24 years old,Female,No,No,7 Polytechnic,10,3.5,3.5,3,0,0,0,0,0,N,N,N,N,N
EC1E58DE,18-24 years old,Female,No,No,7 Polytechnic,5,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
C9F80E2F,18-24 years old,Female,No,No,7 Polytechnic,5,3.5,3.5,4.5,0,0,0,0,0,N,N,N,N,N
D4F88B15,18-24 years old,Female,No,No,7 Polytechnic,5,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
46AB8D2E,18-24 years old,Male,No,No,7 Polytechnic,5,3.5,3.5,3,0,0,0,0,0,N,N,N,N,N
567A10EB,18-24 years old,Female,No,No,7 Polytechnic,5,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
645D42D5,18-24 years old,Male,No,No,7 Polytechnic,5,5,5,5,0.5,1.2,0.6,1.25,-0.75,Y,Y,Y,Y,N
54EB1E17,18-24 years old,Female,No,No,7 Polytechnic,5,4,4.5,4.5,0,0,0,0,0,N,N,N,N,N
BAE30008,18-24 years old,Female,No,No,7 Polytechnic,5,4,4.5,4.5,0,0,0,0,0,N,N,N,N,N
23A69FA3,18-24 years old,Male,No,No,7 Polytechnic,5,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
0F6F4367,18-24 years old,Male,No,No,7 Polytechnic,5,5,5,5,-0.0625,0.4,-0.6,0.75,1,N,Y,N,Y,Y
4C068CC1,18-24 years old,Male,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
E63110A1,18-24 years old,Male,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
11E30289,18-24 years old,Female,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
0904D366,18-24 years old,Female,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
5E7F7BAD,18-24 years old,Male,No,No,7 Polytechnic,5,5,5,4.5,0,0,0,0,0,N,N,N,N,N
5673C2A7,18-24 years old,Female,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
1CA2BA9A,18-24 years old,Female,No,No,7 Polytechnic,5,5,5,5,0.6875,0.8,0.3,0.25,0.5,Y,Y,Y,Y,Y
1E227588,18-24 years old,Male,No,No,7 Polytechnic,5,4.5,4.5,4.5,-0.5,0.2,0,0,0.25,N,Y,N,N,Y
274B37DE,18-24 years old,Female,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
B4A6A150,18-24 years old,Female,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
B13B2A9F,25-34 years old,Female,No,No,7 Polytechnic,5,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
7BC72FCA,25-34 years old,Female,No,No,7 Polytechnic,5,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
CBB47DA0,25-34 years old,Female,No,No,7 Polytechnic,5,4,3.5,3.5,0,0,0,0,0,N,N,N,N,N
8CA928F5,25-34 years old,Female,No,No,8 University Degree,5,2.5,2,2.5,-0.25,0,0.2,0.5,0.25,N,N,Y,Y,Y
4F6E4622,25-34 years old,Female,No,No,8 University Degree,5,4,4,4,0.0625,0.2,0.3,1,0,Y,Y,Y,Y,N
629F1BEA,25-34 years old,Female,No,No,8 University Degree,5,3.5,3,4,-0.5,-0.6,-0.1,0.5,0,N,N,N,Y,N
99528F06,25-34 years old,Female,No,No,8 University Degree,5,4,4,4,0.0625,-0.2,0.3,0.75,-1.5,Y,N,Y,Y,N
2E7801E5,25-34 years old,Female,No,No,8 University Degree,5,4,4.5,4.5,0.125,-0.8,0,0.5,-0.25,Y,N,N,Y,N
162C8FA2,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,-0.4375,0,0.2,-0.25,0,N,N,Y,N,N
E685CACB,25-34 years old,Male,No,No,8 University Degree,5,5,4.5,4.5,-0.0625,-0.2,-0.2,0.25,-0.75,N,N,N,Y,N
9A5C9B11,25-34 years old,Female,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
36630AF2,25-34 years old,Female,No,No,8 University Degree,5,4,3,4,0.5,0.4,0.7,-0.25,0.5,Y,Y,Y,N,Y
AE28677D,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,4,0.25,0.6,0.3,0.5,0.75,Y,Y,Y,Y,Y
5602783E,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,0.125,0,-0.1,0,-0.75,Y,N,N,N,N
D193731C,25-34 years old,Female,No,No,8 University Degree,5,2,2,4,0.25,0,1.6,0.75,-0.25,Y,N,Y,Y,N
B10A33AC,25-34 years old,Male,No,No,8 University Degree,5,3.5,3.5,4,-0.125,-0.6,0,0.25,0.25,N,N,N,Y,Y
DD14A9EF,25-34 years old,Male,No,No,8 University Degree,5,4.5,3,2.5,0,0,0,0,0,N,N,N,N,N
81280A77,25-34 years old,Male,No,No,8 University Degree,5,3,3.5,4,-0.1875,0,-0.2,1,0,N,N,N,Y,N
FC3B91AE,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,1,0.2,0.3,0,0.5,Y,Y,Y,N,Y
DF2B2778,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,0.5,-0.2,0.5,0.75,0.25,Y,N,Y,Y,Y
CDA89D5A,25-34 years old,Female,No,No,8 University Degree,5,4,3.5,4.5,0.1875,0,0.1,-0.75,-0.5,Y,N,Y,N,N
DA82E7F4,25-34 years old,Female,No,No,8 University Degree,5,2.5,4,5,0.5625,0,0.8,0.75,0,Y,N,Y,Y,N
4DE1717A,25-34 years old,Female,No,No,8 University Degree,5,3.5,4,4.5,-0.5625,0.2,-0.3,-0.25,0.5,N,Y,N,N,Y
5489C789,25-34 years old,Female,No,No,8 University Degree,5,4,4,4,1.0625,0.2,0.3,1,-0.25,Y,Y,Y,Y,N
C1C3328D,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,-0.1875,-0.2,0.3,0.75,0,N,N,Y,Y,N
57FE97BD,25-34 years old,Male,No,No,8 University Degree,5,2.5,5,5,0,0.2,0.4,0.25,-1,N,Y,Y,Y,N
96E23310,25-34 years old,Male,No,No,8 University Degree,5,3.5,4,4,1.0625,0,0.9,0.75,0,Y,N,Y,Y,N
8C7D759E,25-34 years old,Male,No,No,8 University Degree,5,3.5,4.5,5,1.8125,0.8,-0.2,1.25,0.25,Y,Y,N,Y,Y
7547906A,25-34 years old,Male,No,No,8 University Degree,5,4,4,4,0.125,-0.8,0.8,1.5,-0.5,Y,N,Y,Y,N
0CED3454,25-34 years old,Female,No,No,8 University Degree,5,2.5,1.5,2.5,0.3125,-0.2,0.8,0,0.25,Y,N,Y,N,Y
ABF294BD,25-34 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,0,0,0,0,0,N,N,N,N,N
15ED2DE6,25-34 years old,Female,No,No,8 University Degree,5,2.5,3.5,3.5,0.5,-0.4,0.7,0.25,0.25,Y,N,Y,Y,Y
F18CF455,25-34 years old,Male,No,No,8 University Degree,5,4,3.5,4,0,0,0,0,0,N,N,N,N,N
B19AAECF,25-34 years old,Female,No,No,8 University Degree,5,4.5,5,5,0.1875,0,0.8,0.75,0,Y,N,Y,Y,N
B21E36F9,25-34 years old,Male,No,No,8 University Degree,5,4,3.5,3.5,0.875,0.2,1,1,0,Y,Y,Y,Y,N
27C4729E,25-34 years old,Female,No,No,8 University Degree,5,4,4,4.5,-0.0625,-0.4,0.3,0.5,0.25,N,N,Y,Y,Y
F27BE136,25-34 years old,Male,No,No,8 University Degree,5,4.5,4.5,4.5,0.1875,-0.2,-0.2,0.25,-0.5,Y,N,N,Y,N
B015E11C,25-34 years old,Female,No,No,8 University Degree,5,4,4,4,0.125,-0.4,0.5,0,0.5,Y,N,Y,N,Y
27F934F8,25-34 years old,Female,No,No,8 University Degree,5,3,3,3.5,0,0,0,0,0,N,N,N,N,N
C62B058B,25-34 years old,Female,No,No,8 University Degree,5,3,3,3.5,0,0,0,0,0,N,N,N,N,N
47B29B6C,35-44 years old,Male,No,No,7 Polytechnic,10,3.5,3.5,3,0,0,0,0,0,N,N,N,N,N
D9196FC8,35-44 years old,Female,No,No,9 Postgraduate Degree,10,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
21FE09C6,35-44 years old,Female,No,No,7 Polytechnic,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
A00973B6,35-44 years old,Female,No,No,7 Polytechnic,5,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
CD4AFA12,35-44 years old,Male,No,No,7 Polytechnic,5,3.5,3.5,3,0,0,0,0,0,N,N,N,N,N
973E7DBA,35-44 years old,Male,No,No,9 Postgraduate Degree,10,4,4,4,0,0,0,0,0,N,N,N,N,N
3551C7B0,35-44 years old,Female,No,No,8 University Degree,5,3.5,3.5,4,-0.375,0.2,0.1,0.5,0,N,Y,Y,Y,N
73A46DAA,35-44 years old,Female,No,No,8 University Degree,5,5,5,5,0,0,0,0,0,N,N,N,N,N
B11B847F,35-44 years old,Male,No,No,8 University Degree,5,4.5,4.5,4.5,0.5,0.2,0.8,0,0.75,Y,Y,Y,N,Y
51E32D13,35-44 years old,Male,No,No,8 University Degree,5,4,4.5,4.5,-0.625,-0.4,0,0.25,0.5,N,N,N,Y,Y
F9689DBC,35-44 years old,Male,No,No,8 University Degree,5,3,2,3.5,0.125,0.8,0.1,1,0.25,Y,Y,Y,Y,Y
1858F4CA,35-44 years old,Male,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
BA8DDF53,35-44 years old,Female,No,No,8 University Degree,5,3,3,3,0.1875,0.2,-0.7,0,-1.5,Y,Y,N,N,N
B46EF45D,35-44 years old,Female,No,No,8 University Degree,5,2.5,2.5,2.5,-0.0625,0,0.1,0,-0.25,N,N,Y,N,N
DE44AF09,35-44 years old,Female,No,No,8 University Degree,5,4,4,4,0.0625,0.4,0.3,0.5,-0.25,Y,Y,Y,Y,N
42C353AD,35-44 years old,Female,No,No,8 University Degree,5,4.5,4.5,4.5,0.25,0.4,0.1,0.25,-0.5,Y,Y,Y,Y,N
34648DE8,35-44 years old,Female,No,No,8 University Degree,5,4,3.5,3.5,0.1875,0.2,0.9,1,1,Y,Y,Y,Y,Y
B9DEBD78,35-44 years old,Male,No,No,8 University Degree,5,3.5,3.5,3,-0.5625,-0.2,-0.1,0.25,0.25,N,N,N,Y,Y
524939A0,35-44 years old,Male,No,No,8 University Degree,5,4,3.5,3.5,0.375,-0.2,0.2,0,0.75,Y,N,Y,N,Y
B7DAE9BA,35-44 years old,Male,No,No,8 University Degree,5,5,5,4.5,0.25,0,0.1,1,0,Y,N,Y,Y,N
E909FDC5,35-44 years old,Male,No,No,8 University Degree,5,5,5,5,0.5,-0.4,0.2,0,0.5,Y,N,Y,N,Y
AFC2DB16,35-44 years old,Male,No,No,8 University Degree,5,4,4.5,4.5,0.0625,-0.8,0,0.75,-0.25,Y,N,N,Y,N
D7DC0B54,35-44 years old,Male,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
EACCC4A9,35-44 years old,Male,No,No,8 University Degree,5,3.5,4,3.5,0.3125,-0.2,1.1,0.25,0.75,Y,N,Y,Y,Y
5B42E783,35-44 years old,Female,No,No,8 University Degree,5,4.5,4.5,4.5,1,0.4,0.9,1,0,Y,Y,Y,Y,N
DF18C9AF,35-44 years old,Male,No,No,8 University Degree,5,3.5,3.5,4,0.9375,0.4,0.7,0.25,0.5,Y,Y,Y,Y,Y
B84F4A13,35-44 years old,Female,No,No,8 University Degree,5,3.5,4,4,-0.5,-0.8,-0.1,-0.5,1,N,N,N,N,Y
F09F0CB6,35-44 years old,Male,No,No,8 University Degree,5,3.5,3.5,4.5,1.0625,0.6,0.7,1,1.5,Y,Y,Y,Y,Y
065DFBCD,35-44 years old,Female,No,No,8 University Degree,5,3,3,3.5,0.5,0,0.7,1.5,0.5,Y,N,Y,Y,Y
2CAAC2D3,35-44 years old,Male,No,No,8 University Degree,5,3.5,4,4.5,0,0,-0.2,0.25,0,N,N,N,Y,N
76CD8956,35-44 years old,Male,No,No,8 University Degree,5,3,3.5,4.5,-0.375,0.2,-0.1,0.75,1,N,Y,N,Y,Y
4BE73D35,35-44 years old,Male,No,No,8 University Degree,5,4.5,4.5,4,0.5,0.4,0.8,1.25,0,Y,Y,Y,Y,N
FA3AE275,35-44 years old,Female,No,No,8 University Degree,5,3,4,4.5,1,-0.6,0.2,0.25,0.25,Y,N,Y,Y,Y
CDDF1EAE,35-44 years old,Female,No,No,8 University Degree,5,4,4,4,-0.0625,-0.6,0.6,-0.75,-0.5,N,N,Y,N,N
0342311D,35-44 years old,Female,No,No,8 University Degree,5,3.5,3.5,4,0.3125,-0.6,0.6,0.5,-0.25,Y,N,Y,Y,N
521D302F,35-44 years old,Male,No,No,8 University Degree,5,2.5,3,3.5,0,0,-0.2,-0.25,0,N,N,N,N,N
98C288BC,35-44 years old,Male,No,No,8 University Degree,5,4,4,4,0,0,0,0.25,0,N,N,N,Y,N
222187F1,35-44 years old,Male,No,No,8 University Degree,5,5,5,5,0.125,-1.6,0.3,-0.5,0.5,Y,N,Y,N,Y
F278339F,35-44 years old,Male,No,No,8 University Degree,5,2,3,3.5,0.4375,0.6,0,0,0.25,Y,Y,N,N,Y
D354F89A,35-44 years old,Male,No,No,8 University Degree,5,3.5,3.5,3.5,-1,-0.2,0.8,0.5,-1,N,N,Y,Y,N
93AAC00F,35-44 years old,Male,No,No,8 University Degree,5,4,4,4,0.5625,-0.4,0.4,0.5,0.75,Y,N,Y,Y,Y
DC4FFC4C,35-44 years old,Male,No,No,8 University Degree,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
ADE91523,35-44 years old,Female,No,No,8 University Degree,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
3C698D17,35-44 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,0.1875,0,-0.2,-0.5,0,Y,N,N,N,N
8A9F2CC4,35-44 years old,Female,No,No,8 University Degree,5,4,4,4,0.1875,0,0.4,0.75,-0.5,Y,N,Y,Y,N
EAD5A1A9,35-44 years old,Female,No,No,8 University Degree,5,4,5,4,1,0,1.6,1.5,0.5,Y,N,Y,Y,Y
A2F64153,35-44 years old,Male,No,No,8 University Degree,5,1.5,1.5,3.5,0.75,-0.4,0.1,1.5,0.25,Y,N,Y,Y,Y
A2E241C2,35-44 years old,Female,No,No,8 University Degree,5,3.5,4.5,5,0,0,0,0,0,N,N,N,N,N
D3298432,35-44 years old,Male,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
F85D65F7,35-44 years old,Female,No,No,8 University Degree,5,3,3.5,5,0.375,0,-0.5,1.5,0.25,Y,N,N,Y,Y
F686B2A4,35-44 years old,Male,No,No,8 University Degree,5,4.5,5,5,-0.4375,0.2,0.1,0.75,0,N,Y,Y,Y,N
091D13DA,35-44 years old,Female,No,No,8 University Degree,5,4,4.5,4,-0.0625,0.2,-0.1,-0.25,0,N,Y,N,N,N
04F31AF2,35-44 years old,Male,No,No,8 University Degree,5,2.5,2,2.5,0.625,0.2,0.8,-0.25,0.25,Y,Y,Y,N,Y
F2467301,35-44 years old,Male,No,No,8 University Degree,5,5,5,5,0,0,0,0,0,N,N,N,N,N
2742E7A5,35-44 years old,Female,No,No,8 University Degree,5,4,4,4,1.4375,0.4,1.5,0.5,1,Y,Y,Y,Y,Y
B087C335,35-44 years old,Male,No,No,8 University Degree,5,3,2,4,-0.3125,-1,-0.1,0,0.5,N,N,N,N,Y
DE39C379,35-44 years old,Female,No,No,8 University Degree,5,4,3.5,4.5,0.25,-0.2,-0.4,-0.25,0,Y,N,N,N,N
BD4471BD,35-44 years old,Female,No,No,8 University Degree,5,5,5,5,0.4375,-0.4,0.4,1,0.5,Y,N,Y,Y,Y
55E92A9D,35-44 years old,Male,No,No,8 University Degree,5,2,2,3,0.4375,0,0.3,0.75,0.25,Y,N,Y,Y,Y
7EF1BCB8,35-44 years old,Male,No,No,8 University Degree,5,4,3.5,4,0,0,0,0,0,N,N,N,N,N
F591FD93,35-44 years old,Male,No,No,8 University Degree,5,3.5,4,4,1,-0.6,0.5,1,0.5,Y,N,Y,Y,Y
23D59A35,35-44 years old,Female,No,No,8 University Degree,5,1,1,2,-0.375,-0.8,-0.6,1,-0.75,N,N,N,Y,N
A0742819,35-44 years old,Female,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
5340D5AF,35-44 years old,Female,No,No,8 University Degree,5,4,3.5,4,0,0,0,0,0,N,N,N,N,N
775073AF,35-44 years old,Female,No,No,8 University Degree,5,2.5,3.5,4,0.0625,0,0.3,1.25,-0.5,Y,N,Y,Y,N
157898D1,35-44 years old,Female,No,No,8 University Degree,5,4.5,4.5,4.5,0.875,-0.6,-0.1,0.25,0.5,Y,N,N,Y,Y
1A0DD47E,35-44 years old,Female,No,No,8 University Degree,5,4,4,4.5,0.125,-0.4,0.6,0.75,0,Y,N,Y,Y,N
A512D5BF,35-44 years old,Female,No,No,8 University Degree,5,4,3.5,4,0,0,0,0,0,N,N,N,N,N
DE34C9B4,35-44 years old,Female,No,No,8 University Degree,5,4.5,4.5,4.5,0,0.6,-0.2,0.75,-1.5,N,Y,N,Y,N
80CC3FCF,35-44 years old,Female,No,No,8 University Degree,5,1.5,3,3,0.0625,-0.2,0,-1,0.25,Y,N,N,N,Y
6F08A28C,35-44 years old,Male,No,No,8 University Degree,5,2.5,2.5,3,-0.5625,-0.4,-0.2,-0.5,-0.25,N,N,N,N,N
F215D1FE,35-44 years old,Male,No,No,8 University Degree,5,3.5,3.5,3.5,0,0,0,0,0,N,N,N,N,N
302FBBC2,35-44 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,0,0,0,0,0,N,N,N,N,N
6E03091C,35-44 years old,Female,No,No,8 University Degree,5,3.5,3,3,0,0,0,0,0,N,N,N,N,N
31590B44,35-44 years old,Female,No,No,8 University Degree,5,3.5,4,3.5,0.8125,0.2,0.4,1.25,-0.75,Y,Y,Y,Y,N
4B2155AC,35-44 years old,Female,No,No,8 University Degree,5,3.5,4,4.5,0.375,0.2,0.6,0,0.5,Y,Y,Y,N,Y
C95E8CC5,35-44 years old,Female,No,No,8 University Degree,5,3.5,3.5,3.5,-0.125,-0.4,-0.4,0,-1,N,N,N,N,N
82546946,35-44 years old,Female,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
1F49634B,35-44 years old,Female,No,No,8 University Degree,5,4.5,4.5,4.5,0,0,0,0,0,N,N,N,N,N
CA5A5F91,35-44 years old,Female,No,No,8 University Degree,5,2.5,2.5,2.5,0,0,0,0,0,N,N,N,N,N
2895C441,35-44 years old,Male,No,No,8 University Degree,5,3.5,3.5,4,0,0.2,0.8,-0.25,0.25,N,Y,Y,N,Y
C055F22F,45-54 years old,Female,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
7362012C,45-54 years old,Male,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
DAEC2A13,45-54 years old,Male,No,No,8 University Degree,5,4,4.5,4.5,0.5625,0.4,0.2,0.25,0,Y,Y,Y,Y,N
82153E00,45-54 years old,Female,No,No,8 University Degree,5,4,4,4,0.25,-0.6,1.2,1,0,Y,N,Y,Y,N
2C6645BB,45-54 years old,Female,No,No,8 University Degree,5,4,4,4,0,0,0,0,0,N,N,N,N,N
71BFB41F,45-54 years old,Female,No,No,8 University Degree,5,3,3,3.5,0.1875,-0.6,0.1,-0.25,0.25,Y,N,Y,N,Y
021FC644,45-54 years old,Female,No,No,8 University Degree,5,3.5,4.5,5,-0.0625,-0.4,0,0.75,0.25,N,N,N,Y,Y
